"NDB_Number","long_name","data_source","gtin_upc","manufacturer","date_modified","date_available","ingredients_english"
"45302674","QUAKER, OLD FASHIONED WHOLE GRAIN OATS","LI","030000010204","The Quaker Oats Company","2018-03-11 06:27:23","2018-03-11 06:27:23","WHOLE GRAIN ROLLED OATS."
"45189910","ORGANIC NONFAT MILK","LI","015400192750","Western Family Foods, Inc.","2018-02-17 01:40:48","2018-02-17 01:40:48","FAT FREE ORGANIC MILK, VITAMIN D, VITAMIN A."
"45193512","DARK BROWN SUGAR","LI","011110876607","The Kroger Co.","2018-01-20 03:47:00","2018-01-20 03:47:00","SUGAR, CANE MOLASSES."
"45365651","CAGE FREE LARGE WHITE EGGS","LI","688267187407","Ahold Usa, Inc.","2018-01-19 21:19:10","2018-01-19 21:19:10",""
"45326055","NON STICK OIL SPRAY","LI","049022948570","Walgreens Co.","2017-08-11 17:34:36","2017-08-11 17:34:36","CANOLA OIL, SOY LECITHIN, DIMETHYL SILICONE (AN ANTI-FOAMING AGENT), PROPELLANT."
"45088481","IODIZED SALT","LI","024600010030","Morton Salt, Inc.","2018-05-10 07:07:52","2018-05-10 07:07:52","SALT, CALCIUM SILICATE (AN ANTICAKING AGENT), DEXTROSE, POTASSIUM IODIDE"
"45208890","WHEAT BREAD","LI","085239941232","Target Stores","2017-07-14 18:34:07","2017-07-14 18:34:07","ENRICHED WHEAT FLOUR (FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), WATER, WHOLE WHEAT FLOUR, YEAST, HONEY, SUGAR, WHEAT GLUTEN, SALT, SOYBEAN OIL, ENRICHMENT (CALCIUM SULFATE, VITAMIN E ACETATE, VITAMIN A PALMITATE, VITAMIN D3), CALCIUM PROPIONATE (PRESERVATIVE), DATEM, MONO AND DIGLYCERIDES, GRAIN VINEGAR, SOY LECITHIN, CITRIC ACID, POTASSIUM IODATE, CALCIUM PHOSPHATE."
"45102018","BELGIOIOSO, FRESH MOZARELLA CHEESE","LI","031142006018","Belgioioso Cheese, Inc.","2017-06-25 10:46:38","2017-06-25 10:46:38","PASTEURIZED MILK, VINEGAR, ENZYMES, SALT, EXTRA VIRGIN OLIVE OIL, BASIL."
"45272510","ROMA TOMATOES","LI","040232303029","Entertainment Production House Inc.","2017-11-04 22:23:16","2017-11-04 22:23:16",""
"45079317","TEA BAGS","LI","041000731334","Lipton","2018-05-15 19:18:04","2018-05-15 19:18:04","ORANGE PEKOE AND PEKOE CUT BLACK TEA."
"45326001","HALF & HALF","LI","072730274112","Prairie Farms Dairy, Inc.","2018-02-16 18:37:47","2018-02-16 18:37:47","GRADE A MILK AND CREAM, DIPOTASSIUM PHOSPHATE."
"45365899","PURE GRANULATED SUGAR","LI","708820005426","Meijer, Inc.","2018-01-24 02:49:33","2018-01-24 02:49:33",""
"45077785","SWEET BABY LETTUCES","LI","071430010549","Dole Fresh Vegetables Inc.","2017-07-14 18:54:28","2017-07-14 18:54:28","BABY LETTUCES (GREEN ROMAINE, RED OAK, GREEN OAK, TANGO, LOLLA ROSSA, RED LEAF, RED ROMAINE, GREEN LEAF)."
"45037032","ORGANIC BLACK BEANS","LI","071524159505","La Preferida Inc","2017-07-14 19:11:23","2017-07-14 19:11:23","ORGANIC BLACK TURTLE BEANS, WATER, SEA SALT."
